Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789442114,447416987,41,0,0,0,0.00,9.09
1789442115,447410084,36,0,0,0,0.00,4.12
1789442116,447407181,32,1,1,0,0.00,8.00
1789442117,447396278,38,0,0,0,0.00,7.14
1789442118,447399375,53,0,0,0,0.00,13.13
1789442119,447406471,31,0,0,0,0.00,5.15
1789442120,447437566,36,0,0,0,0.00,11.65
1789442121,447435661,36,1,1,0,0.00,6.12
1789442122,447411757,29,0,0,0,0.00,6.12
1789442123,447400851,48,0,0,0,0.00,7.37
1789442124,447406946,37,0,0,0,0.00,5.21
1789442125,447401040,45,0,0,0,0.00,9.18
1789442126,447433133,30,0,0,0,0.00,6.12
1789442127,447407227,33,0,0,0,0.00,9.80
1789442128,447403320,42,0,0,0,0.00,7.22
1789442129,447406413,30,1,1,0,0.00,6.19
1789442130,447405505,40,0,0,0,0.00,6.25
1789442131,447401598,40,0,0,0,0.00,9.00
1789442132,447404689,42,0,0,0,0.00,8.00
1789442133,447403781,38,0,0,0,0.00,9.09
1789442134,447403872,41,0,0,0,0.00,8.16
1789442135,447401963,55,1,1,0,0.00,11.34
1789442136,447402054,27,0,0,0,0.00,9.71
1789442137,447437144,35,1,1,0,0.00,10.00
1789442138,447432234,38,0,0,0,0.00,7.07
1789442139,447407323,33,0,0,0,0.00,7.92
1789442140,447410413,41,0,0,0,0.00,9.18
1789442141,447416502,36,1,1,0,0.00,10.89
1789442142,447403590,39,0,0,0,0.00,8.08
1789442143,447402679,40,1,1,0,0.00,12.00
1789442144,447418767,38,0,0,0,0.00,9.71
1789442145,447423854,39,0,0,0,0.00,14.42
1789442146,447399942,38,0,0,0,0.00,9.00
1789442147,447416029,56,0,0,0,0.00,8.33
1789442148,447416116,35,0,0,0,0.00,11.76
1789442149,447411202,54,0,0,0,0.00,12.12
1789442150,447404289,30,0,0,0,0.00,6.93
1789442151,447401375,30,0,0,0,0.00,8.08
1789442152,447407460,30,0,0,0,0.00,5.15
1789442153,447409545,25,0,0,0,0.00,5.05
1789442154,447410630,36,0,0,0,0.00,5.21
1789442155,447422715,26,0,0,0,0.00,4.12
1789442156,447409799,32,0,1,0,0.00,6.00
1789442157,447401883,41,1,0,0,0.00,11.00
1789442158,447402967,37,0,0,0,0.00,8.16
1789442159,447408051,29,0,0,0,0.00,6.12
1789442160,447403134,43,1,1,0,0.00,4.26
1789442161,447425216,19,0,0,0,0.00,5.05
1789442162,447431299,31,0,0,0,0.00,2.06
1789442163,447421381,17,0,0,0,0.00,5.10
1789442164,447433463,41,1,1,0,0.00,4.26
1789442165,447400545,29,0,0,0,0.00,7.00
1789442166,447463626,52,0,0,0,0.00,9.18
1789442167,447408707,48,0,0,0,0.00,6.32
1789442168,447427788,40,1,2,0,0.00,8.91
1789442169,447401869,37,0,0,0,0.00,9.18
1789442170,447403949,29,0,0,0,0.00,8.00
1789442171,447421029,34,1,1,0,0.00,8.08
1789442172,447401108,36,0,0,0,0.00,11.65
1789442173,447425187,32,0,1,0,0.00,4.17
1789442174,447405266,34,0,0,0,0.00,3.16
1789442175,447419345,38,1,1,0,0.00,8.25
1789442176,447411424,28,0,1,0,0.00,8.91
1789442177,447405502,39,0,0,0,0.00,8.16
1789442178,447397580,28,1,1,0,0.00,7.00
1789442179,447422657,27,0,0,0,0.00,4.12
1789442180,447404734,38,0,0,0,0.00,7.07
1789442181,447415811,40,0,0,0,0.00,11.11
1789442182,447415888,30,0,0,0,0.00,4.17
1789442183,447420964,38,0,0,0,0.00,7.14
1789442184,447405040,31,0,1,0,0.00,8.91
1789442185,447401116,35,1,1,0,0.00,8.08
1789442186,447397192,29,0,0,0,0.00,5.05
1789442187,447424267,29,0,0,0,0.00,7.14
1789442188,447420342,39,0,0,0,0.00,6.25
1789442189,447415416,36,0,0,0,0.00,9.09
1789442190,447432491,34,0,0,0,0.00,9.90
1789442191,447429565,47,1,1,0,0.00,9.00
1789442192,447406639,45,0,0,0,0.00,8.08
1789442193,447418712,32,0,0,0,0.00,9.09
1789442194,447408785,47,0,0,0,0.00,9.18
1789442195,447414858,30,0,0,0,0.00,5.15
1789442196,447410931,32,1,1,0,0.00,8.08
1789442197,447427003,22,0,0,0,0.00,4.00
